count=0, loss1=0.1425, loss2=602.5262, acc=0.4118
VALID count=0, loss1=0.2077, loss2=453.4858, acc=0.4872
VALID Before: acc=0.5179
count=1, loss1=0.2995, loss2=466.6389, acc=0.0291
count=2, loss1=0.1728, loss2=347.0616, acc=0.1667
count=3, loss1=0.1735, loss2=236.3598, acc=0.3548
count=4, loss1=0.3221, loss2=164.5321, acc=0.1667
count=5, loss1=0.0668, loss2=185.3152, acc=0.4865
count=6, loss1=0.2873, loss2=119.1312, acc=0.7538
count=7, loss1=0.1043, loss2=75.7504, acc=0.9703
count=8, loss1=0.1093, loss2=76.2408, acc=0.9259
count=9, loss1=0.1909, loss2=59.8722, acc=0.9804
count=10, loss1=0.0144, loss2=169.7648, acc=0.5405
count=11, loss1=0.1508, loss2=129.9104, acc=0.6452
count=12, loss1=0.1643, loss2=103.1819, acc=0.6897
count=13, loss1=0.2091, loss2=161.4765, acc=0.5556
count=14, loss1=0.0513, loss2=143.6645, acc=0.5882
count=15, loss1=0.3506, loss2=174.8749, acc=0.5714
count=16, loss1=0.1787, loss2=16.0859, acc=0.9346
count=17, loss1=0.1184, loss2=207.5208, acc=0.5128
count=18, loss1=0.0865, loss2=23.4900, acc=0.9091
count=19, loss1=0.1978, loss2=199.5730, acc=0.5556
count=20, loss1=0.3197, loss2=226.2558, acc=0.5000
VALID count=20, loss1=0.1382, loss2=198.4854, acc=0.5128
VALID Before: acc=0.4872
count=21, loss1=0.0833, loss2=205.1533, acc=0.5263
count=22, loss1=0.0552, loss2=135.5450, acc=0.6061
count=23, loss1=0.1908, loss2=226.6811, acc=0.5000
count=24, loss1=0.1068, loss2=36.6799, acc=0.8696
count=25, loss1=0.3174, loss2=16.3230, acc=0.9709
count=26, loss1=0.2654, loss2=16.4713, acc=0.9434
count=27, loss1=0.3601, loss2=133.3749, acc=0.6250
count=28, loss1=0.1429, loss2=140.7308, acc=0.5882
count=29, loss1=0.1933, loss2=32.7242, acc=0.9174
count=30, loss1=0.2177, loss2=129.6697, acc=0.6452
count=31, loss1=0.1457, loss2=27.6931, acc=0.9259
count=32, loss1=0.1624, loss2=58.4358, acc=0.8000
count=33, loss1=0.5213, loss2=69.1992, acc=0.7692
count=34, loss1=0.2277, loss2=61.7251, acc=0.8000
count=35, loss1=0.1562, loss2=23.8645, acc=0.9174
count=36, loss1=0.1869, loss2=19.8363, acc=0.9174
count=37, loss1=0.2006, loss2=48.5185, acc=0.8333
count=38, loss1=0.1043, loss2=161.6940, acc=0.5714
count=39, loss1=0.1310, loss2=107.7015, acc=0.6667
count=40, loss1=0.2525, loss2=145.6465, acc=0.5882
VALID count=40, loss1=0.0475, loss2=18.0153, acc=0.9346
VALID Before: acc=0.1963
count=41, loss1=0.0558, loss2=33.3017, acc=0.8696
count=42, loss1=0.1447, loss2=205.6881, acc=0.5000
count=43, loss1=0.3687, loss2=210.5749, acc=0.5128
count=44, loss1=0.0406, loss2=46.8273, acc=0.8333
count=45, loss1=0.0864, loss2=200.8940, acc=0.5128
count=46, loss1=0.1398, loss2=95.0543, acc=0.6897
count=47, loss1=0.2851, loss2=118.9535, acc=0.6452
count=48, loss1=0.1123, loss2=195.8208, acc=0.5128
count=49, loss1=0.3994, loss2=9.0157, acc=0.9709
count=50, loss1=0.1935, loss2=25.9419, acc=0.9259
count=51, loss1=0.1264, loss2=13.7317, acc=0.9524
count=52, loss1=0.3238, loss2=35.5505, acc=0.8696
count=53, loss1=0.0263, loss2=112.5969, acc=0.6452
count=54, loss1=0.3383, loss2=121.9518, acc=0.6250
count=55, loss1=0.3476, loss2=118.6372, acc=0.6452
count=56, loss1=0.2696, loss2=160.1138, acc=0.5714
count=57, loss1=0.1884, loss2=114.9624, acc=0.6667
count=58, loss1=0.0604, loss2=184.8372, acc=0.5263
count=59, loss1=0.4717, loss2=144.6867, acc=0.6061
count=60, loss1=0.2403, loss2=19.1617, acc=0.9709
VALID count=60, loss1=0.0965, loss2=171.9877, acc=0.5405
VALID Before: acc=0.5189
count=61, loss1=0.2481, loss2=117.7468, acc=0.6452
count=62, loss1=0.1860, loss2=49.2955, acc=0.8333
count=63, loss1=0.1385, loss2=96.6251, acc=0.7143
count=64, loss1=0.5088, loss2=18.6320, acc=0.9346
count=65, loss1=0.2119, loss2=13.9113, acc=0.9524
count=66, loss1=0.1777, loss2=121.8555, acc=0.6250
count=67, loss1=0.2887, loss2=15.0300, acc=0.9615
count=68, loss1=0.2210, loss2=84.9882, acc=0.7407
count=69, loss1=0.0875, loss2=44.6116, acc=0.8333
count=70, loss1=0.2646, loss2=3.1325, acc=0.9901
count=71, loss1=0.0438, loss2=165.8148, acc=0.5405
count=72, loss1=0.4656, loss2=15.2397, acc=0.9434
count=73, loss1=0.0442, loss2=200.1201, acc=0.5000
count=74, loss1=0.0305, loss2=168.1948, acc=0.5714
count=75, loss1=0.2229, loss2=70.7851, acc=0.7692
count=76, loss1=0.2868, loss2=48.0186, acc=0.8333
count=77, loss1=0.0252, loss2=22.4231, acc=0.9174
count=78, loss1=0.2765, loss2=21.6728, acc=0.9259
count=79, loss1=0.1668, loss2=108.5795, acc=0.6667
count=80, loss1=0.4243, loss2=125.0065, acc=0.6452
VALID count=80, loss1=0.2061, loss2=66.7788, acc=0.7692
VALID Before: acc=0.3077
count=81, loss1=0.0629, loss2=10.2947, acc=0.9615
count=82, loss1=0.2897, loss2=165.1818, acc=0.5556
count=83, loss1=0.2937, loss2=29.0266, acc=0.9091
count=84, loss1=0.1710, loss2=17.1093, acc=0.9524
count=85, loss1=0.2024, loss2=162.1015, acc=0.5714
count=86, loss1=0.2526, loss2=18.5509, acc=0.9434
count=87, loss1=0.1564, loss2=179.0832, acc=0.5405
count=88, loss1=0.2586, loss2=93.7106, acc=0.7143
count=89, loss1=0.1070, loss2=39.1788, acc=0.8696
count=90, loss1=0.1998, loss2=8.7027, acc=0.9804
count=91, loss1=0.2213, loss2=10.4100, acc=0.9901
count=92, loss1=0.0755, loss2=18.2666, acc=0.9434
count=93, loss1=0.1918, loss2=131.8990, acc=0.6250
